"","env1","env2","env3","env4","env5","env6","lat","long"
"s__Parachlamydia_acanthamoebae",0.19688,0.01534,0.12687,-0.04067,0.23089,0.59887,-0.26205,0.10819
"s__un_f__Bacteriovoracaceae",0.03544,0.04025,-0.17113,0.04002,0.38085,0.08724,-0.04263,0.20994
"s__Aridibacter_famidurans",-0.21884,0.28548,0.31303,0.06407,0.01893,-0.04875,-0.48556,0.04002
"s__un_f__Parachlamydiaceae",-0.6206,-0.05128,-0.1768,0.15026,-0.253,0.02253,0.01932,0.02237
"s__un_g__Methylovorus",-0.0421,-0.23961,-0.1614,0.0496,-0.01154,0.12925,-0.12325,-0.07698
"s__Marmoricola_aequoreus",-0.15244,0.26658,0.07611,0.34893,-0.37035,-0.03648,-0.06203,0.14315
"s__Arenimonas_donghaensis",0.29537,-0.17224,0.56392,0.10505,-0.35478,-0.65521,0.19494,-0.12384
"s__un_g__Gp11",-0.12296,0.00454,0.29427,0.04422,0.18285,-0.41465,0.40497,-0.21581
"s__Blastococcus_jejuensis",-0.33572,0.01202,-0.05734,0.16068,-0.05565,0.0113,0.1947,-0.49495
"s__Povalibacter_uvarum",0.07658,0.61201,0.42492,-0.04286,-0.14595,-0.11129,-0.13163,0.15822
"s__Lysobacter_oryzae",-0.17494,-0.35314,-0.5088,-0.24127,0.07688,-0.3619,0.06227,-0.11595
"s__Nonomuraea_salmonea",-0.5208,-0.14571,0.0365,0.00751,0.22728,0.25674,-0.137,-0.22551
"s__un_g__Bauldia",0.21692,-0.28397,0.18302,0.18805,0.08751,-0.33947,-0.30676,0.11481
"s__Uliginosibacterium_gangwonense",-0.00232,-0.02334,0.06059,-0.41824,0.12058,-0.32456,0.35721,-0.10077
"s__Blastocatella_fastidiosa",-0.10228,0.16742,0.487,0.10212,-0.51397,-0.1891,-0.45755,-0.23079
"s__Aggregicoccus_edonensis",-0.60512,0.48496,0.07948,-0.0155,-0.20698,-0.08527,-0.23547,0.09229
"s__Bacillus_infernus",0.37618,0.11752,0.25612,-0.3313,0.04986,-0.04417,0.17896,-0.05441
"s__Flavobacterium_subsaxonicum",-0.1107,0.40463,0.34378,0.30006,0.09744,0.19823,-0.07646,0.09817
"s__un_c__Subdivision3",-0.07021,-0.44684,0.09848,-0.29237,0.06609,-0.20653,0.43706,-0.35265
"s__un_g__Leptospira",-0.30432,-0.10173,0.18234,-0.06347,0.20897,0.05038,-0.02956,-0.25881
"s__un_g__Phycicoccus",0.16535,0.13374,-0.04375,0.43951,-0.25266,-0.36659,-0.19008,0.28635
"s__un_g__Chitinophaga",-0.04568,0.20134,0.2265,0.23063,-0.13385,-0.32136,-0.05567,-0.08689
"s__Nonomuraea_kuesteri",0.03396,-0.02742,0.09483,0.074,-0.47576,-0.23022,-0.28051,0.24995
"s__Mangrovibacterium_diazotrophicum",-0.26413,0.0891,-0.27281,-0.3893,-0.05666,-0.20645,0.15886,0.2666
"s__Thioalkalivibrio_sulfidiphilus",-0.22535,0.2252,0.4144,-0.16725,-0.16079,-0.05359,-0.05928,0.201
"s__Pelagibius_litoralis",-0.00695,0.37497,-0.10605,-0.17254,0.39434,0.47714,-0.26252,0.41688
"s__un_g__Terribacillus",0.12671,0.0058,0.43656,0.53096,-0.00696,-0.28489,-0.00719,0.22879
"s__Terrimonas_aquatica",-0.02905,-0.15951,-0.209,-0.24298,-0.36131,-0.18961,-0.1596,-0.22351
